Rank,Player,Team,Position,Assists,Attempts_on_target,Attempts_At_Goal,Attempts_ at_goal_conversionrate(%),Attempts_Inside_PenaltyArea,Attempts_Outside_PenaltyArea,Headed_Attempts_at_Goal,xG,xG_Efficiency,Corners
37,Alex Baena,ESP,MF,1,5,12,8,4,8,0,0.5,2x,28
37,Sead Kolasinac,BIH,DF,1,0,0,0,0,0,0,0,0x,0
37,Akmal Mozgovoy,UZB,MF,1,0,1,0,1,0,0,0.08,0x,0
37,Marcos Llorente,ESP,DF,1,0,0,0,0,0,0,0,0x,0
37,Mikel Oyarzabal,ESP,FW,1,12,23,22,16,7,5,4.33,1.14x,0
37,Nico Williams,ESP,FW,1,2,4,0,2,2,1,0.56,0x,3
37,Charles De Ketelaere,BEL,FW,1,5,6,50,6,0,3,1.51,1.98x,0
37,Marcus Rashford,ENG,FW,1,5,12,8,9,3,2,1.03,0.97x,0
37,Timothy Castagne,BEL,DF,1,1,3,0,2,1,1,0.14,0x,0
37,Virgil Van Dijk,NED,DF,1,2,2,50,2,0,2,0.14,7.26x,0
37,Elliot Anderson,ENG,MF,1,1,7,0,3,4,2,0.38,0x,3
37,Romelu Lukaku,BEL,FW,1,3,6,50,6,0,2,0.77,3.91x,0
37,Adrien Rabiot,FRA,MF,1,1,9,0,4,5,2,0.96,0x,0
37,Jude Bellingham,ENG,MF,1,13,19,37,16,3,4,3.92,1.79x,0
37,Josip Stanisic,CRO,DF,1,0,0,0,0,0,0,0,0x,0
37,Ivan Perisic,CRO,FW,1,2,2,50,2,0,1,0.32,3.15x,2
37,Nathaniel Brown,GER,DF,1,2,3,33,3,0,0,0.21,4.87x,11
37,Luka Modric,CRO,MF,1,0,1,0,1,0,1,0.05,0x,7
37,Thomas Meunier,BEL,DF,1,1,2,0,1,1,0,0.11,0x,0
37,Bradley Barcola,FRA,FW,1,5,10,30,7,3,1,1.99,1.51x,0
37,Desire Doue,FRA,FW,1,8,13,8,4,9,1,0.71,1.41x,2
37,Harry Kane,ENG,FW,1,11,23,26,18,5,5,3.69,1.63x,0
37,Xaver Schlager,AUT,MF,1,0,1,0,0,1,0,0.02,0x,0
37,Cody Gakpo,NED,FW,1,6,10,30,8,2,2,1.35,2.23x,1
37,Morgan Rogers,ENG,MF,1,1,3,0,1,2,0,0.13,0x,0
37,Konrad Laimer,AUT,MF,1,0,1,0,0,1,0,0.01,0x,0
37,Memphis Depay,NED,FW,1,0,0,0,0,0,0,0,0x,1
37,David Moller Wolfe,NOR,DF,1,0,0,0,0,0,0,0,0x,0
37,Aurelien Tchouameni,FRA,MF,1,0,3,0,1,2,0,0.11,0x,0
37,Dayot Upamecano,FRA,DF,1,2,4,0,3,1,2,0.54,0x,0
37,Rafael Leao,POR,FW,1,1,4,25,3,1,0,0.33,3.07x,3
37,Joao Cancelo,POR,DF,1,0,3,0,1,2,0,0.06,0x,1
37,Bruno Fernandes,POR,MF,1,3,9,0,5,4,0,0.95,0x,8
37,Tijjani Reijnders,NED,MF,1,2,4,0,3,1,0,0.48,0x,10
37,Eberechi Eze,ENG,MF,1,0,5,0,2,3,0,0.28,0x,1
37,Pedro Neto,POR,FW,1,0,1,0,0,1,0,0,0x,0
37,Felix Nmecha,GER,MF,1,3,8,13,3,5,0,0.49,2.04x,0
37,Mateo Kovacic,CRO,MF,1,4,5,0,1,4,0,0.46,0x,0
37,Nadiem Amiri,GER,MF,1,1,2,0,1,1,0,0.26,0x,0
37,Michael Gregoritsch,AUT,FW,1,0,1,0,1,0,1,0.18,0x,0
37,Petar Sucic,CRO,MF,1,2,3,33,1,2,0,0.14,7.07x,0
37,Lautaro Martinez,ARG,FW,1,4,10,30,9,1,2,2.17,1.38x,0
37,Luis Romo,MEX,MF,1,1,3,33,1,2,0,0.1,10.05x,0
37,Nico Gonzalez,ARG,MF,1,1,7,0,7,0,4,0.48,0x,0
37,Christian Pulisic,USA,FW,1,2,4,0,2,2,0,0.42,0x,1
37,Kevin Rodriguez,ECU,FW,1,1,6,0,6,0,2,0.68,0x,0
37,Gabriel Magalhaes,BRA,DF,1,0,1,0,1,0,0,0.03,0x,0
37,Pedro Vite,ECU,MF,1,1,4,0,1,3,0,0.23,0x,2
37,Rodrigo De Paul,ARG,MF,1,1,2,0,0,2,0,0.06,0x,1
37,Rayan,BRA,FW,1,2,5,0,3,2,1,0.76,0x,1
37,Gonzalo Montiel,ARG,DF,1,0,1,0,1,0,0,0.15,0x,0
37,Facundo Medina,ARG,DF,1,0,0,0,0,0,0,0,0x,0
37,Alexis Mac Allister,ARG,MF,1,4,13,8,10,3,9,1.92,0.52x,0
37,Vinicius Junior,BRA,FW,1,11,17,24,14,3,1,3.24,1.23x,2
37,Jose Manuel Lopez,ARG,FW,1,0,1,0,1,0,0,0.04,0x,0
